,Movie_Title,Storyline
1101,1102. Elyas,"An adventurer who served with the strongest fighters finally sets out on his own, in middle age."
1102,1103. Stormskerry Maja,"Struggling with postnatal depression and feeling misunderstood by her husband, Meredith begins to experience terrifying visions foreshadowing an ultimate tragedy."
1103,1104. Late Bloomer,Six friends on their way to a concert break down in the middle of nowhere and encounter a deranged family that lives in the desert killing anyone they come across.
1104,"1105. The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible","Oscar, stuck with a crappy medical contract, is still hooked on his ex. Ana, without a partner or a job, feels lost and plans to move away. Over the next ten years, they will have to face the passage of time and the decisions they make."
1105,1106. Mom,"When investigative journalist Edie Hansen's estranged brother is murdered in his home, she's drawn into the dark underbelly of Cape Town. With her brother's children as prime suspects, she clashes with veteran detective Forty Bell."
1106,1107. Desert Fiends,"When Anna meets a stock trader, she thinks he's perfect, but her identical twin sister Zoe doesn't trust him, so she sets out to discover the truth about him."
1107,1108. The New Years,A speechwriter hired to help write best man speeches gets entangled in the often ridiculous world of male friendship.
1108,1109. White Lies,"January 2020. A film crew reunites near Wuhan to resume the shooting of a film halted ten years earlier, only to share the unexpected challenges as cities are placed under lockdown."
1109,1110. The Image of You,"Dark Ages Britain where Queen Dagan is toppled by a revolution led by Humble Joan. The Queen becomes a fugitive in her own land, and must face hardship and danger as she embarks on a voyage to win back her throne."
1110,1111. The Best Man's Ghostwriter,"When a police officer pursues a teenage suspect on to a busy train platform, a bystander is critically injured, and the lives of the pursued and pursuer are thrown into turmoil."
1111,1112. An Unfinished Film,"The Reverend, accompanies a ragtag group of military rejects to a remote South Pacific Island to investigate the disappearance of Marine units said to be at the hands of the Japanese Imperial Army."
1112,1113. Seize Them!,"Hiiragi Utena, a normal girl, is very passionate about magical girls; after being misled into joining an evil organization, she learns that there's also a twisted side to said passion."
1113,1114. Critical Incident,"The outrageous story of Eduard Limonov, the radical Soviet poet who became a bum in New York, a sensation in France, and a political antihero in Russia."
1114,1115. Operation Blood Hunt,"Magpie lives in an isolated church community ruled over by her father, The Pastor. When a man is murdered, paranoia sets in and people start to whisper about a strange 'Beast' that lives in the forest."
1115,1116. Gushing Over Magical Girls,"Woody Woodpecker must find a new home after being kicked out of the forest. At Camp Woo Hoo, he thinks he's found a forever home, but there's an inspector on the loose who wants to shut down the camp."
1116,1117. Limonov: The Ballad of Eddie,"It follows a teen who after being kicked out of the house by their parents, embarks upon a journey of self-discovery that teaches them about love, friendship, and family."
1117,1118. The Severed Sun,"Middle-class man seeks secret escort services during financial woes. Entangled in lies, murder and gang, he becomes what he once despised - corrupt."
1118,1119. Woody Woodpecker Goes to Camp,Until Dawn is a branching narrative survival horror game in which any choice of action by the player may cause other consequences later in the story. It was rebuilt from the ground up with stunning visuals in Unreal Engine 5.
1119,1120. I Wish You All the Best,"When an American chef travels to a quaint village in Italy for inspiration, she falls in love with the flavors, culture, gelato, and the Italian gentleman who helps her discover it all."
1120,1121. Tribhuvan Mishra CA Topper,"Follows Jack, a fitness expert living with his mother in Los Angeles, who takes a maniacal swing at fame and fortune pursuing his version of the American dream."
1121,1122. Until Dawn,"Athar meets Ara who makes him a better person, but they are still too young and have to pursue their dreams."
1122,1123. Two Scoops of Italy,"Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix."
1123,1124. The Trainer,A family is divided when the mother goes to the police to accuse her husband of continuous rape during the 30 years of their perfect marriage.
1124,1125. Pure Love,"Cinderella is pushed too far by her evil stepsisters and stepmother, which causes her to switch out her glass shoes and use the assistance of her Fairy Godmother to seek bloody vengeance."
1125,1126. The Tiger's Apprentice,A team of loggers discover a meth cook site in the middle of the forest and are forced to fight for their lives while being hunted by a drug cartel.
1126,1127. Querer,"Follows an aging boxer whose crafty manager secures one last shot at a title. But if they want to make it to fight night, they must navigate a mysterious underworld force and the boxer's own ailing mind."
1127,1128. Cinderella's Revenge,"A time during Cosa Nostra boss Matteo Messina Denaro's three decades as a fugitive from Italian justice, when he was at the peak of his nefarious powers."
1128,1129. Clear Cut,"Transferred from juvenile to adult prison, Mel is taken under the wing of both Shepard, Australia's most despised criminal, and Warren, a soon-to-be-paroled inmate. The paternal triangle that forms between them becomes their undoing."
1129,1130. La Máquina,Retelling Jesus' life in a way that shines a new light.
1130,1131. Sicilian Letters,"After a powerful dragon devours him, an average adventurer transforms into a living skeleton and sets out on a mystical journey to regain human form."
1131,1132. Inside,The restoration of a derelict Welsh chapel is carried out by Keith Brymer Jones and his partner Marj. Their dream is to turn it into their forever home complete with a working pottery studio.
1132,1133. Jesus Crown of Thorns,Follows a man in jail who narrates the colorful tale of a romantic bank heist to his cunning cellmate to escape and reunite with the alluring love of his life.
1133,1134. The Unwanted Undead Adventurer,"A martial arts instructor is confronted with the disappearance of two of his students, leading him into a direct confrontation with a group of international child traffickers."
1134,1135. Our Welsh Chapel Dream,"Three generations of bull riders fight to raise money to transfer the family's young daughter to a better cancer hospital. Set in Stephenville TX, Ride explores rodeo, addiction in the Heartland, and the cowboy's place in modern America."
1135,1136. Marmalade,"On their way from Egypt to the promised land, Moses and his family struggle to manage the hardest part of their nation's journey: the people."
1136,1137. Life After Fighting,"Mr Bigstuff follows two estranged brothers; Glen (Sampson), a nervy perfectionist and carpet salesman striving to live a suburban ideal and Lee (Dyer), an alpha male with a prescription drug addiction and a tin full of their dad's ashes."
1137,1138. Ride,Director Takeshi Kitano presents a two-part film: a serious yakuza action and a self-parodying comedy of the same story.
1138,1139. The Promised Land,"A heart specialist doubts his daughter's death after an exorcism, believing her heart still beats. Amid her three-day funeral, he and a priest clash over the truth, each trying to prove their stance and potentially save her life."
1139,1140. Mr. Bigstuff,"The case of Laci Peterson's disappearance and murder shook the US in 2002. Her husband Scott was convicted, though he maintains innocence. Twenty years later, Laci's mother and friends speak out, revisiting this tragedy."
1140,1141. Broken Rage,"Character-driven mystery-thriller, combining a powerful story of a knotty police investigation with chilling, atmospheric folk-horror through the island's eerie past devotion to a pagan God called the Red King and the cult of the True Way."
1141,1142. Devils Stay,"Tater, a quirky girl with ambitious dreams for her future and only one summer to sort them out, finds her plans disrupted when her mom unexpectedly invites all 12 of her cousins to visit."
1142,1143. American Murder: Laci Peterson,"It follows Gala as her life is turned upside down when her husband implicates the family in financial improprieties, and she is forced to flee the city alongside her mother and daughter."
1143,1144. The Red King,Joaquín Manchado rules his drug empire from Barcelona's seaport with an iron fist until a new shipment sends business and family spiraling.
1144,1145. Mated to the Alpha,"A shitstorm of bad news sends out of work filmmaker Jimmy spiraling into an out of control bender in which he claims to have been abducted by aliens. Fearing they'll come back, he contacts his old friend Stiggs to help him gear up for war."
1145,1146. Primos,"A bullied teen embarks on his journey to become heroic, taking inspiration from the Netflix show, Cobra Kai. With the help of the people that made Cobra Kai possible, he finally overcomes his lack of confidence and defeats his high school bully."
1146,1147. Land of Women,"A shocking new series that points to Arthur Leigh Allen as the Zodiac killer, at the heart of the revelations is an unlikely family whose increasingly chilling relationship with Allen promises to connect him to the infamous Zodiac murders."
1147,1148. Iron Reign,"Nella and Joe are the perfect influencer couple, but when he cheats on her, she turns to an AI app to erase him from her life - until it takes control."
1148,1149. Jimmy and Stiggs,A recent parolee (Danny Trejo) gets a Mexican witch to resurrect his old posse so that they can help him save a woman's ranch from a ruthless drug lord.
1149,1150. The Cobra Kai Movie,"This is the story of Mete, the spoiled son of a wealthy businessman whose father makes him believe he has reincarnated as a servant in a 16th-century Ottoman city."
1150,1151. This Is the Zodiac Speaking,"Years after an alien invasion, three heroes decide to time travel to save the survivors but they don't know that the Sentinel is waiting for them."
1151,1152. CTRL,"A man who travels from Spain to Argentina for a vacation at his family home, where he becomes attracted to a childhood friend. But their relationship is full of misunderstandings as they try to hide it from family and friends."
1152,1153. Seven Cemeteries,"After the death of her husband in a strange explosion, Amparo begins to search for answers with the only help of Richi, a security guard, ex-cop and alcoholic. While the murders always follow the same pattern."
1153,1154. Simarik,"Under the burning sky on a roadside on the coast of Ceará, Motel Destino is the scene of dangerous games of desire, power and violence. One night, the arrival of young Heraldo definitively transforms the daily life of the place."
1154,1155. Sentinel,"Montse, divorced and with two children who have long since ignored her, has been preparing for a family reunion at her home on the Costa Brava. Nothing, absolutely nothing, will prevent her from enjoying one last weekend with her family."
1155,1156. The Astronaut Lovers,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football."
1156,1157. 1992,Follows a new generation of superhuman Gladiators as they compete in a test of speed and strength against brave everyday contenders.
1157,1158. Motel Destino,It centers on the three women who General Ulysses S. Grant credited as helping the North win the Civil War.
1158,1159. A House on Fire,"This will bring to the screen the tale of the impossible love of Canfeza, a nomad girl and Mahir, a police commissioner, which starts in Pamukkale and extends to Istanbul."
1159,1160. Maidaan,"It's the 4th of July and Gotham City is under attack by a new threat: the mysterious Rat King and his cultish devotees. As widespread rioting engulfs the city, Batman races to prevent this so-called ""Day of Wrath"" before it all goes wrong."
1160,1161. Gladiators,"Claire is overjoyed when her daughter Robin is miraculously revived after a fatal accident. But her relief turns to dread as Claire notices changes in her daughter, suspecting something dark has followed her back from the brink of death."
1161,1162. The Gray House,"Balancing college and a secret nightlife, Marcella becomes dancer Sin to support her family. When her brother's best friend Ben unknowingly becomes her client, an intense attraction forms. She must juggle family, Ben, and her double life."
1162,1163. A Night's Tale,"A wealthy, married woman falling in love with a mysterious carpenter, which will lead to many conflicts."
1163,1164. Batman: Arkham Shadow,"A protagonist reincarnated as a powerful monster kitten befriends and becomes the protector of an adventurer named Aria in a dungeon-filled city, exploring the labyrinth with unique companions while enduring excessive cuddling."
1164,1165. Here After,"Based upon extensive research with law enforcement, gangs, inmates, migrants, and addicts, an exposé on fentanyl trafficking, and its effect on all walks of life."
1165,1166. Secrets of Sin,"After a renowned private investigator is murdered, his protégé takes on the case. As her investigation unfolds, she is forced into a dangerous alliance with his killer to uncover the town's grisly secrets and bring justice to its victims."
1166,1167. Ashes,"Hart plans an innovative action film with unscripted, unexpected scenes to cement his legacy as the greatest. However, a blind spot leads him to fall victim to a vengeful plot from his past."
1167,1168. Beheneko: The Elf-Girl's Cat is Secretly an S-Ranked Monster!,"In 2014, on the streets of Raqa, an international spy Haibala (aka El Saharawi) tries to hunt down El Jordano, one of the most wanted ISIS leaders."
1168,1169. King Ivory,An in-home caregiver fears for her life after being assigned to a mysterious elderly patient in a remote seaside home.
1169,1170. Cult Killer,"Over seven hallucinatory days, a village with no name, in an undefined time and place, disappears."
1170,1171. Die Hart 2: Die Harter,"On the island of Malta, two women get engaged in a string of horrifying murders."
1171,1172. Raqa,"Follows Gordon Kinski, a high school teacher from Brooklyn, who goes with his girlfriend and chef Sophie Tremblay to her hometown of Quebec City where she is testing for the Michelin 3-star restaurant of super-chef Ruby Collins."
1172,1173. The Ruse,"Charly's quiet life with family in Berlin disrupted when past associates threaten them, forcing him to steal coin. Charly and driver Joseph, fatefully collided, now flee with family to escape danger."
1173,1174. Harvest,"Capristan women's swimwear brand show with beautiful models, held at Miami Fashion Swim Week."
1174,1175. Compulsion,A found footage thriller surrounding the story of a curious couple.
1175,1176. French Girl,"Shakespeare's timeless story of revenge is reimagined as a modern psychological thriller. The classic tragedy transcends the stage through a unique, contemporary lens."
1176,1177. Crooks,"The early life story of Veteran Mustafa Kemal Atatürk, the founding father of the Republic of Turkey and its first President, supreme commander of Turkish War of Independence, and revolutionary statesman."
1177,1178. Capristan Swimwear in Slow Motion!: Miami Swim Wear,"In the midst of the D-Day invasion, a group of US soldiers are given orders to smuggle a member of the French resistance behind enemy lines to assassinate a high-value Nazi target."
1178,1179. Footage,"A drifting ex-soldier turns underground fighter with the help of a just released ex-con, pitting them both against a crime boss, corrupt cops and hired killers."
1179,1180. Hamlet,"A secret death witnessed by two boys in a small Oaxacan village forges an unbreakable bond. Twenty years later the childhood friends reunite as different people, facing their shared past and new trials that test the power of friendship."
1180,1181. Atatürk 1881-1919,"The infidelities by patriarch Lukas divide the family. His Son Tyler visit sparks a taboo relationship with his stepmother Amanda, forever altering the dynamics and loyalties after certain revelations."
1181,1182. Murder Company,A small seaside town is preparing to celebrate midsummer's eve. An unknown enemy arrives and takes the entire area hostage.
1182,1183. Lights Out,The Anti-Monitor (the Monitor's evil counterpart) is released into the DC Multiverse and begins to destroy the different Earths that compose it. The Monitor attempts to recruit heroes from across the Multiverse to fight back.
1183,1184. The Secret of the River,"At the peak of her career in London, an Australian woman is diagnosed with MS. After losing her job and the death of her husband, she moves home with her three sons, where a chance encounter with a childhood sweetheart changes her life."
1184,1185. Taboo: Family Secrets,A team of swindlers gets wind of prime real estate worth 10 billion yen and will stop at nothing to pull off their most ambitious scam yet.
1185,1186. Conflict,"Jess and Hannah, at 13 years old made a pact to have the perfect prom, only 24 hours before the big event, everything is ruined when they break up with their dates. Now they have one night to find new dates and make the fantasy comes true."
1186,1187. Justice League: Crisis on Infinite Earths - Part Two,"Based on the story of Quawntay 'Bosco"" Adams, sentenced to 35 years for attempted possession of marijuana. With the help of a woman from a lonely-hearts ad, he escapes to see his daughter but is forced to take responsibility for his past."
1187,1188. Take My Hand,Pairs of professional bakers compete to create spellbinding edible showpieces on the sets where the Harry Potter films were made.
1188,1189. Tokyo Swindlers,"A woman seeks sperm donation to fulfill her dying mother's wish, but ends up entangled in a co-parenting contract with a handsome, wealthy stranger - complicating her plans for a simple pregnancy."
1189,1190. Prom Dates,"Chronicles the rise of the smooth West Coast sound pioneered by artists like Steely Dan, Toto, and Michael McDonald, exploring its widespread influence."
1190,1191. Bosco,"Josh Gates travels through history on a search to uncover new evidence and answers to the world's most captivating unexplained mysteries, and true stories that defy explanation, offering stunning revelations and surprising new insights."
1191,1192. Harry Potter: Wizards of Baking,"Is the electrifying story of India's struggle for independence. Based on the bestselling book of the same name, it recounts the partition of India and Pakistan, and the religious and socio-political dynamics of the era."
1192,1193. Call for Billionaire's Surrogate,"Ren, an emotionally unstable Chihuahua, and Stimpy, a good-natured yet dimwitted cat."
1193,1194. Yacht Rock: A Dockumentary,"A sheriff's sister seeks revenge against the terrifying leader of a group of outlaws after discovering he brutally murdered her brother, his wife, and other family members in a gritty southwestern town."
1194,1195. Expedition Files,"A detective transferred to Victorian High Country investigates 5 missing persons. She uncovers a complex web of murder, deceit and revenge."
1195,1196. Freedom at Midnight,The stark personality differences between sisters Karen and Jule become apparent as their families come together for a birthday party.
1196,1197. The Ren & Stimpy Show Reboot,"When Jennifer Pan calls 911 to report that her parents have been shot, she becomes the primary focus of a captivating criminal case."
1197,1198. Black Creek,"A mystery thriller about a real estate agent who secretly enters clients' homes and becomes obsessed with a deceptive social media influencer. The film explores themes of obsession, identity and the dark side of social media."
1198,1199. High Country,Three potheads sell a strain of magical weed to raise funds for their friend's funeral.
1199,1200. The Sparrow in the Chimney,Follows the love story of two women who have a sixteen year age gap. Family and societal norms keep their romance from flourishing.
1200,1201. What Jennifer Did,"Small-town feud, internet conspiracy, Elvis impersonator, black market organs, and presidential assassination attempt intertwine in Mississippi's jaw-dropping scandal."
1201,1202. Following,"A young man caught up in the mafias struggles to balance his desire for power, moral conscience, and personal relationships while trying to survive in a dangerous and corrupt environment."
1202,1203. Half Baked: Totally High,"At the dawn of the Cold War, two U.S. marshals pursue a wanted murderer in the deserts of Nevada."
1203,1204. Blank,"Love is deeper than the ocean, and bigger than the universe."
1204,1205. The Kings of Tupelo: A Southern Crime Saga,"Chronicles visionary scientist Demis Hassabis' relentless pursuit to crack artificial general intelligence, a journey of extraordinary perseverance."
1205,"1206. Bring It on, My Mafia Life","In the winter of 1862, during the Civil War, the U.S. Army sends a volunteer company to patrol the uncharted Western territories."
1206,1207. Laws of Man,"Separated from family, an Uber driver gets embroiled in a crime after an accident, changing his life forever as he's exploited by nefarious people."
1207,1208. Uranus 2324,"Rivals Jules and Noah fake a relationship to get revenge on mutual friends. Unexpectedly, they develop real feelings for each other. Will Jules choose love or her family's welfare?"
1208,1209. The Thinking Game,"A future civil war is sparked by government-imposed measures due to climate change. Nia, her sister Penny, and her boyfriend Ethan are hiding out when a militia leader and his followers arrive on their doorstep."
1209,1210. The Damned,"The series centers on Ariel and her fun-filled, action-packed mermaid adventures with her friends in the mystical underwater country of Atlantica, which takes its cue from the Caribbean."
1210,1211. Asaf,"Famous Japanese chef Obana opens a restaurant in Paris, seeking third Michelin star. Faces challenges as outsider, sourcing ingredients. Tensions rise with staff over ambitious menu."
1211,1212. Summer Situationship,"In Tang Dynasty, a girl escapes in pearl field during Dragon Boat Festival. To learn her past, she joins merchant Yan Zi Jing. She befriends Yue Yun Xiu and gains jewelry guidance from Yan Zi Jing but caught in a trap and nearly killed."
1212,1213. All the Lost Ones,"Young women live together, organizing events and dealing with drama. An audition special introduces contestants through personality tests, challenges, and a judging panel, promising adventures on Central American beaches."
1213,1214. Disney Jr.'s Ariel,"Each person is graded through a popular vote against the backdrop of a girl's high school and if they receive an F grade, they become legitimate victims of school violence."
1214,1215. Grand Maison Paris,"In the Norwegian wilderness, a family seeks a wild free existence but a tragic turn of events shatters their isolation, compelling them to adapt to the demands of contemporary society."
1215,1216. The Story of Pearl Girl,"A Chinese woman lives for herself in silence, celebrating the prosperous Belle Epoque with songs and dance."
1216,1217. Baddies Caribbean,Babezilla has met her match with MechaBabezilla and the Cyber Skanks. Now she must train with Master Beta to learn a new technique to defeat MechaBabezilla.
1217,1218. Pyramid Game,"Two middle-aged sisters in a Finnish village promise to brew beer for a wedding but drink their entire batch. In a hilarious race against time, they struggle with hangovers while trying to make more beer and save their reputations."
1218,1219. A New Kind of Wilderness,Lissy enjoys husband Gerd's deterioration in a home. Her joy is temporary as her health rapidly declines.
1219,1220. Caught by the Tides,"It follows a singer-songwriter in a downward spiral as she takes a last effort gig at a motorcycle rally in South Dakota where she meets Casey, a guitarist who walked away from his dream long ago."
1220,1221. Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,"During a quest to undo a curse, a supernatural being comes across a hopeless romantic and forms an unlikely relationship."
1221,1222. 100 litraa sahtia,A drama that cheerfully depicts love and separation among the free-spirited young generation.
1222,1223. Dying,"Two couples, Lola - Cuau and Iñigo - Majo, from different socioeconomic backgrounds, undergo artificial insemination procedures to conceive children, exploring their contrasting perspectives on parenthood."
1223,1224. Dandelion,"A debt-ridden wedding planner inadvertently becomes a successful funeral planner. However, he must convince a traditional Taoist priest of his legitimacy to continue operating in the field."
1224,1225. Yakshini,"Hazel, a ten-year-old girl who has just moved to the big city of Dimmadelphia for her father's new job, explores the city on her own after her brother Antony leaves for college."
1225,1226. Love in the Big City,"Cult musician Swamp Dogg and housemates Moogstar and Guitar Shorty have turned their suburban LA home into an artistic haven. They journey through the turbulent music business, forming a special friendship transcending eras."
1226,1227. Una Pequeña Confusion,"Former criminologist Ainsley McGregor returns to her Texas hometown, opening a craft market. When a friend's winery sees a murder, Ainsley's crime-solving skills prove invaluable as she teaches criminology and investigates the case."
1227,1228. The Last Dance,"A feature film adaptation of Australian music legend Paul Kelly's classic song, 'How to Make Gravy'."
1228,1229. Fairly OddParents: A New Wish,A re-imagining of the 1986 Horror Classic
1229,1230. Swamp Dogg Gets His Pool Painted,The 20th anniversary trip of two couples and friends goes wrong when in the first night Ale confesses an old trick that led to their current marriages. To the next morning Ale's world will be turned upside down.
1230,1231. Ainsley McGregor Mysteries: A Case for the Winemaker,"Baki, a corpse washer in his thirties, lives a life of isolation and loneliness. But when confronted with his own mortality, a haunting question arises: Who will wash his body when he dies?"
1231,1232. How to Make Gravy,"Sachin's quest for love takes unexpected turns, creating a laughter-filled love triangle."
1232,1233. Witchboard,"A young woman arrives in the Chicago suburbs and begins to suspect that something terrible has happened to her missing cousin, but soon realizes that her greatest fears don't even begin to scratch the surface."
1233,1234. Samana Sunrise,"Caroline's first love Easton, now a hockey star, rehires her after 8 years. She never told him he fathered her child. Reunited, will she reveal the truth before it's too late?"
1234,1235. Gassal,"Touda is a Sheikha, a traditional Moroccan singer. Performing in the bars of her provincial town under the gaze of men, she plans to leave for the lights of Casablanca, to gain recognition and ensure a better future for her son."
1235,1236. Premalu,"Science teacher Hank's life changes when he reconnects with his first love and suspects a new student is his daughter, all while facing an alien threat in their town."
1236,1237. Invader,"A group of survivors finds themselves trapped in a historical reenactment village on Halloween, where they must unite to battle a sentient, vengeful pumpkin."
1237,1238. Breaking the Ice,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death."
1238,1239. Everybody Loves Touda,"It tells the story of the Bouvier-Sauvage family of aristocrats. Their daughter is in love with the son of a Peugeot dealer. When the children announce their marriage, the aristocratic family does not agree."
1239,1240. Ick,"Left for dead by her rich and powerful stepmother, Snow White is taken in by a team of assassins - The Seven Samurai, who train her in their ways of fighting."
1240,1241. Carved,"Impaled Rektum, a band, is in jail but must escape when the guitarist's father falls ill and their family home/business faces demolition. They receive an offer to play a major festival but decline due to being imprisoned and unprepared."
1241,1242. City Hunter,"Follows Talcott Garland, whose tranquil existence is upended by the death of his father. Mariah Denton, a former journalist and ardent conspiracy theorist, questions the manner of his death and thinks he was the victim of foul play."
1242,1243. Cocorico,"Belle Lablac was born as the only human being in anthropomorphic world. Having no fangs, fur, or scales, she lived a lonely life with no one else could identify with. She set out on a journey to find her roots, carrying the Runding, sword."
1243,1244. Snow White and the Seven Samurai,An oddity that caused unrest at an Islamic boarding school occurred since one of the female students returned.
1244,1245. Heavier Trip,"In this reality series, strangers compete to share a quarter of a million dollars. Will they split it evenly--or cut each other out to raise their take?"
1245,1246. Emperor of Ocean Park,A car accident leaves the victims in the hands of brutal cannibals who plan to hack them up for meat.
1246,"1247. Bye Bye, Earth","Victory in the ring, revenge on the street! Ferit must defeat both his enemies and his destiny."
1247,1248. Munkar,"Tsubasa, a Tokyo schoolboy, gets transferred to the town of Hokkaido in northern Japan, and meets beautiful girls there."
1248,1249. The Trust: A Game of Greed,The movie depics the story of people fighting for their lives in an extreme situation when a passenger plane is hijacked in the airspace of Korea in 1971.
1249,1250. Butchers Book Two: Raghorn,A director calls all his favourite actresses to film a movie set in Rome in the 70s that tells the vicissitudes revolving around a prestigious tailoring.
1250,1251. Dengeler,Tamara searches for her missing son in a violent town. She hires a morally questionable ex-detective to find him. His methods are cruel but she is determined to find her son whatever the cost.
1251,1252. Hokkaido Gals Are Super Adorable!,"An ex-police officer embarks on a single-minded goal upon leaving jail, after serving a sentence for crimes committed under dubious circumstances."
1252,1253. Hijack 1971,"Corina, a 20-year-old housebound woman, accidentally compromises her publishing company's famous book saga. To save her job and the company, she must overcome her fears and, aided by Carlos, embark on a journey to find a mysterious writer."
1253,1254. Diamanti,"A young man seeks out his estranged father to pursue his dream of becoming a professional motorcycle racer. With help from his love interest and a motorcycle shop owner, he begins to break down the walls his father's absence had created."
1254,1255. Flashback,"Yuuta Asamura gets a new stepsister after his father remarries, Saki Ayase, who happens to be the number one beauty of the school year."
1255,1256. Steppenwolf,"Follows a NYC policer officer along with his rookie partner Angela, as they have a rough day while living the dangerous, and routine job of being a cop in the city."
1256,1257. Revolver,"Desperate not to lose custody, a mixed martial arts fighter makes dangerous enemies when he ditches a matchup to race to his daughter's birthday party."
1257,1258. Corina,"A soldier returns home from war to find his girlfriend missing, family broken, and neighborhood overrun by crime. Though reluctant, he becomes a hitman to protect loved ones."
1258,1259. One Fast Move,"Shocking tales of betrayal, violence, and deceit through testimonials, bodycam footage, and reenactments. Exposes the disturbing realities of monstrous past relationships, tapping into the universal fear of not truly knowing one's partner."
1259,1260. Days with My Stepsister,New weight loss medicine creates a frenzy in South Park. Cartman's denied access leads the kids to take action.
1260,1261. First Shift,"Ulrik Torp, once a fearless investigative journalist who is now tackling unemployment and a midlife crisis. He finds himself in the middle of a new political conspiracy."
1261,1262. Sixty Minutes,A beloved small town rabbi in the high desert becomes an unlikely gunslinger after his community is violently attacked.
1262,1263. No Mercy,"Simon's neighborhood falls victim to the antics of a group of teenagers. Simon and his wife want to move their daughter to a safer area. He confronts the leader of the group, and a split-second decision changes everything."
1263,1264. Worst Ex Ever,"Two strangers who find themselves trapped underground when the city is attacked by a monstrous threat. Badly injured with limited resources they must navigate a treacherous, narrowing tunnel in hopes of finding an exit."
1264,1265. South Park: The End of Obesity,"Showcases a confrontation between man and machine, a war of minds during the historical battle between world chess champion Garry Kasparov and IBM's supercomputer Deep Blue."
1265,1266. Mørkeland,"Shyam comes from the remote areas of Purulia to work as a laborer in the coal mines of the Damodar Valley. The story of Mohan and Shyam will proceed with their rise, reckoning of friendship."
1266,1267. Guns & Moses,"The life of a devoted housewife becomes full of disappointments when she returns from the dead. Bahar returns to the profession she left unfinished, becoming a doctor."
1267,1268. Coma,"Five years after the events of The Last of Us, Ellie embarks on another journey through a post-apocalyptic America on a mission of vengeance against a mysterious militia."
1268,1269. Scurry,"Xiaobai finally found Xu Xian, the reincarnation of Axuan, after 500 years, the two met on the Broken Bridge. Xiaobai and sister hid in the streets and alleys, started a lively life in human world with him and his brother-in-law Li Gongfu."
1269,1270. Rematch,"David travels to Dominican Republic to sell a house he has inherited from the father he never knew. There he will meet Maria, who is going to turn his life upside down."
1270,1271. Khadaan,"Follows a pair of married home renovators, Kamohai and Tristyn Kalama, as they transform rundown homes on the island of O'ahu for their clients."
1271,1272. Bahar,"Tatra Mountains will become an arena of brutal murder. The investigation is carried out by a cynical but effective policeman, Wiktor Forst."
1272,1273. The Last of Us Part II Remastered,"A paranormal psych student's ritual candle starts a deadly game of twenty questions. As wax drips away, she races to survive, learning some mysteries should stay buried."
1273,1274. White Snake: Afloat,A business mogul runs into his old small town girlfriend while she is visiting the big city only to find out that they had a child together that he was unaware of. Based on an award-winning foreign language film.
1274,1275. Books & Drinks,"Carmina works as a maid in a mansion and soon learns about the dirty secret of their masters, Alex and Grace."
1275,1276. Renovation Aloha,"A podcast host returns to her small hometown where a recent death rekindles her interest in a long-unsolved case, throwing her into a dangerous game of cat and mouse as she hunts for the truth."
1276,1277. Detective Forst,A Palestinian refugee living on the fringes of society in Athens gets ripped off by a smuggler and sets out to seek revenge.
1277,1278. Are You There?,"A man spends his days in hospital without too many worries. He has been hospitalized, safe from everything, without responsibilities and problems. That routine runs smoothly until a new person is admitted to the same ward."
1278,1279. Longing,"In this twisting documentary, a mechanic tries online dating for the first time and meets a woman who takes romantic obsession to a deadly extreme."
1279,1280. Katas,"A chance encounter at surfing lessons brings together Riley and Logan, both escaping their traumas, as they forge a healing bond neither anticipated."
1280,1281. The Killer with No Name,"Mack Leigh, faced with a philandering husband and a mountain of debt starts up an ethical brothel in small town New Zealand to provide for her family and put a new spin on sex and work."
1281,1282. To a Land Unknown,"At the age of nine, Rebeca is sold by her grandmother. Disputed by bicheiros and drug dealers, the community is going through changes in power. Rebeca becomes the wife of the chief drug dealer."
1282,1283. Nonostante,"When Gigi discovers that his mother Anaïs is once again dating her ex Fabrice, with whom she shared not only love but also a drug addiction in the past, he presents her with an ultimatum: her son or her lover."
1283,1284. Lover Stalker Killer,"A Hindi reporter struggles with a deadly fact when a train full of Karsewaks is set ablaze in Godhra. Years later, he is asked to help expose the Sabarmati Incident backed by a buried report."
1284,1285. Shredded,"Explores the unprecedented bipartisan congressional effort to uncover what intelligence agencies really know about UFOs, now referred to as UAP."
1285,1286. Madam,"Legendary Greek singer Stelios Kazantzidis, a Pontic refugee child who overcame challenges through talent and resilience, exploring his music, relationships, hardships, and devoted fanbase."
1286,1287. Outlaw,"Remo's self-destructive behavior overshadows his talent. Abril, an upcoming jockey is pregnant by Remo and has to decide between child or continuing to race. They both race for Sirena, a businessman who saved Remo's life in the past ."
1287,1288. Putain,"Detectives as they race against time to identify a serial killer targeting the homeless, society's most vulnerable."
